İller,2022 İllere Göre Evlenme Sayısı,2022 Akraba Evliliği Sayısı,2022 Akraba Evliliği Oranı (%),2022 Erkek Ortalama İlk Evlenme Yaşı,2022 Kadın Ortalama İlk Evlenme Yaşı,2022 Kaba Evlenme Hızı,2022 Boşanma Sayısı,2022 Kaba Boşanma Hızı,2022 İllere Göre Toplam Evli Nüfus 
Adana,15836,  751,4.7,28.2,25.5,6.98,5525,2.44,1044296
Adıyaman,4683,  389,8.3,28.2,25.2,7.39,835,1.32,287229
Afyonkarahisar,5048,  93,1.8,26.7,24.0,6.77,1297,1.74,385939
Ağrı,3755,  426,11.3,26.9,22.7,7.25,360,0.7,202571
Amasya,2093,  35,1.7,28.1,25.5,6.21,749,2.22,179074
Ankara,36960,  649,1.8,28.6,26.4,6.41,15262,2.65,2836580
Antalya,18034,  337,1.9,28.7,26.0,6.80,7986,3.01,1307007
Artvin,1039,  12,1.2,30.6,27.6,6.13,227,1.34,88311
Aydın,7777,  167,2.1,28.5,25.4,6.82,3145,2.76,587108
Balıkesir,8222,  64,0.8,28.2,25.5,6.56,3144,2.51,676998
Bilecik,1390,  26,1.9,28.0,25.4,6.08,468,2.05,117284
Bingöl,1747,  108,6.2,29.2,26.5,6.18,238,0.84,124673
Bitlis,2291,  248,10.8,27.7,23.9,6.49,182,0.52,145708
Bolu,1952,  14,0.7,28.1,26.0,6.09,582,1.82,166628
Burdur,1625,  11,0.7,27.7,24.8,5.94,558,2.04,144887
Bursa,20976,  425,2.0,28.3,25.8,6.61,7019,2.21,1622844
Çanakkale,3552,  33,0.9,28.9,25.8,6.36,1416,2.54,297725
Çankırı,1072,  18,1.7,27.3,24.6,5.47,308,1.57,105273
Çorum,3455,  59,1.7,27.7,25.0,6.58,1088,2.07,282814
Denizli,7500,  93,1.2,28.2,25.3,7.12,3058,2.9,546253
Diyarbakır,12480, 1 465,11.7,27.8,25.1,6.94,1745,0.97,716298
Edirne,2548,  18,0.7,28.2,25.4,6.16,921,2.23,218135
Elazığ,3965,  166,4.2,28.6,26.4,6.72,1007,1.71,280938
Erzincan,1317,  40,3.0,28.5,26.2,5.53,403,1.69,116047
Erzurum,4593,  223,4.9,28.2,25.0,6.10,812,1.08,337495
Eskişehir,5860,  80,1.4,28.8,26.6,6.49,2462,2.73,451898
Gaziantep,16839, 1 381,8.2,26.6,23.6,7.86,4412,2.06,944279
Giresun,2594,  41,1.6,28.9,26.2,5.76,721,1.6,235859
Gümüşhane,719,  25,3.5,28.6,25.8,4.88,144,0.98,69838
Hakkari,1936,  159,8.2,28.9,26.5,6.99,122,0.44,101751
Hatay,12167,  623,5.1,28.1,24.7,7.25,3400,2.03,775238
Isparta,2783,  29,1.0,28.1,25.3,6.25,850,1.91,229609
Mersin,13195,  541,4.1,28.3,25.7,6.93,5020,2.64,910335
İstanbul,105694, 2 597,2.5,29.2,26.8,6.66,35000,2.2,7398322
İzmir,30328,  599,2.0,29.1,26.6,6.82,13813,3.11,2206539
Kars,1589,  92,5.8,28.2,23.9,5.72,272,0.98,122510
Kastamonu,1997,  33,1.7,27.7,25.5,5.30,589,1.56,204808
Kayseri,10006,  258,2.6,27.5,24.9,6.96,3502,2.44,712618
Kırklareli,2296,  23,1.0,29.0,26.2,6.24,848,2.31,195648
Kırşehir,1631,  49,3.0,27.9,25.3,6.69,473,1.94,123762
Kocaeli,13927,  294,2.1,28.5,25.9,6.77,4691,2.28,1026588
Konya,16212,  385,2.4,26.7,24.3,7.09,4903,2.14,1140261
Kütahya,3394,  29,0.9,27.5,25.1,5.86,1174,2.03,311807
Malatya,5415,  167,3.1,28.8,26.5,6.68,1413,1.74,389222
Manisa,10253,  195,1.9,27.6,24.9,7.01,3513,2.4,769181
Kahramanmaraş,8641,  426,4.9,27.1,24.0,7.36,2551,2.17,562171
Mardin,6414,  881,13.7,27.4,24.9,7.40,662,0.76,337405
Muğla,6821,  80,1.2,29.3,26.3,6.59,3008,2.91,538451
Muş,2682,  345,12.9,27.4,23.2,6.67,228,0.57,158281
Nevşehir,2229,  55,2.5,26.9,24.4,7.21,806,2.61,159030
Niğde,2529,  100,4.0,26.6,23.6,6.94,781,2.14,178896
Ordu,4736,  62,1.3,28.0,25.5,6.21,1442,1.89,411504
Rize,1931,  36,1.9,29.7,26.6,5.60,471,1.37,171192
Sakarya,7572,  98,1.3,28.2,25.5,7.07,2104,1.97,535894
Samsun,9140,  170,1.9,28.0,25.7,6.67,2748,2.01,701752
Siirt,2098,  269,12.8,27.0,24.1,6.33,169,0.51,126171
Sinop,1205,  19,1.6,28.3,25.6,5.49,457,2.08,119191
Sivas,3959,  89,2.2,27.9,25.2,6.23,1041,1.64,314226
Tekirdağ,7416,  164,2.2,28.0,25.4,6.57,2927,2.6,585966
Tokat,3701,  91,2.5,27.6,25.0,6.17,1043,1.74,309384
Trabzon,5011,  84,1.7,29.5,26.9,6.13,1115,1.36,411223
Tunceli,394,  9,2.3,32.3,29.7,4.69,193,2.3,40935
Şanlıurfa,17566, 3 236,18.4,26.2,23.5,8.15,1902,0.88,800491
Uşak,2629,  31,1.2,27.5,24.8,7.02,1156,3.09,198363
Van,7909,  770,9.7,27.4,24.2,6.97,775,0.68,453938
Yozgat,2925,  101,3.5,27.0,24.1,6.99,848,2.03,215335
Zonguldak,3621,  35,1.0,28.3,26.1,6.15,1279,2.17,309781
Aksaray,3398,  133,3.9,26.5,23.9,7.88,991,2.3,211680
Bayburt,452,  20,4.4,28.6,25.4,5.34,73,0.86,38696
Karaman,1795,  26,1.4,27.4,24.5,6.91,734,2.82,129265
Kırıkkale,1937,  48,2.5,27.7,25.1,7.01,659,2.38,139477
Batman,4481,  440,9.8,28.0,25.3,7.11,504,0.8,242028
Şırnak,3840,  428,11.1,27.1,24.6,6.96,235,0.43,190350
Bartın,1218,  15,1.2,27.9,25.2,6.01,408,2.01,108724
Ardahan,505,  15,3.0,28.4,24.5,5.39,108,1.15,45923
Iğdır,1310,  82,6.3,28.0,24.2,6.44,374,1.84,85738
Yalova,1883,  42,2.2,28.9,26.3,6.41,646,2.2,144011
Karabük,1433,  12,0.8,28.5,26.0,5.72,545,2.17,123963
Kilis,1195,  87,7.3,26.6,23.3,8.14,269,1.83,66226
Osmaniye,4216,  152,3.6,27.5,24.8,7.58,1174,2.11,265864
Düzce,2821,  22,0.8,27.9,25.5,7.00,871,2.16,202704
